Row,NumGoodAlgos
59e94279b43b4b2b9a81197ee0bc7bb8,2
d7383bb641054fc08b2fabc932c6c785,1
dbb30d924eaa49f5b3d67849f6ab47d0,3
8a9ce841936d4ca68441a258171423d4,1
f3de29f3c81a414d897c6cb031079dd7,2
d155d01ef07d45d9aa719ef468dde18b,1
bd0c97f534d94324b792e1522af3254f,1
0593f6e49b5842cdaa3eaf04fcc28853,1
46e559b361e34b4f852dc547007f8893,2
8d8f857205fd4b56afce4dbcf0584173,1
cff08c8827a84b869106f6dd35b7f082,1
67e3908b1ed942b0847826ea739af091,2
a14c753cf26f45ad9e93b70dbf6058b5,1
945179d3a5da49f4978c7497f3385a59,2
380b09d29c3d47d3a523262c2b5db4d4,1
bbcde68102604de2a3036e102122594f,2
c442be74aa734601a178194e06ed9c07,1
c17a5da74ad640e5b4703d54768517f9,1
48b3803353e74ab6a0e6e0c0a0161141,2
4002e564d8c6435ebbab7b288160686f,2
6161b28cdf80458da027fd5b25c5906f,1
1cfd53da5d7744aaa36549361c25c42d,1
fc7513a0e40641f6a7162246a66c72b6,1
10506a1a1a3a450ba19d9230c75d7156,2
002c0227661f434392e3110685f22be4,1
891b244312814f6785d3bf1234b5057e,1
8268596ece33439e844fbb4d1d0a52d9,2
6a444f5eaad24bd7a159d51f657b258e,1
59ddc7fe599c4c7fa960e733d481d26b,2
bfd1062f4a034d8c933d33d0e4315ac5,1
3f9ec1f688994de4a1da94a8322844ec,1
d59525e3ce6f4be68ec4ded532cc2ee7,1
d1007f8cff184c54b050dbf4804f1c19,1
faf194ebc50c47d9a34ed09972dd978d,1
360ed2d3b50945fe8a0fe57b282ab14d,1
2a51ea85d9f9450a9c018379a85d8cb2,1
c5f2203385df4df6a4eef5a0978c0398,2
79be1964f6f845959d271718641f53d4,1
152d7f3771bc47429a15dccc57e95923,2
576d01402baf44e4bdbb6aad41345e4d,1
d72da268da3f47f08b9ad654e4927ecf,1
06934e13e2144459a526cb33e72a5fd9,1
8f44f677f87040f6a10769c5fd73f480,1
47edcba37d4b4cf4a14a6400bb3ce4f0,1
d881f476adff4659b54203655fc3f408,2
8707a158d17441d5a826b509a3a2f748,1
85d6e21e73a64423bbf0de3e93012d00,2
ea4568290fa847898ca40c8ffc7abcc1,2
fedba4cac9444a898a0ebbcfd371cb84,1
2d1764c0a6f4448aaab6249c97a441ea,1
0e97de6e0db5459488ba960d541e7919,2
aecd7d11a923461e870e867e983584df,1
4235602b6fe248b1a98ce4fc7bea719a,2
185897ea25cb4753a7c94e20abf7c793,1
25e33dd4d3df49f8b7d2a83d1bf4e1e4,1
06a1cdded98841c1862ea7ace79a51c5,2
c3856fddf76e4fe18a3d701e36e8780a,1
d32074621cee44bc895c556e046c026c,1
b8f4745ed9524f93941e386da602d067,1
afa8677bf1b34d1e9add8d217eb9865c,2
7a95cedb4668496a9536a6257f8a1d5b,1
9801d70ed6ea4456990c8f7cb3098817,1
4cc689a5e80c4abdbf05e7614bbeb0a9,1
74d9ad96875e4c618fe2241c68767d4e,1
5e86bdae6e934ee4903d013cb26226ca,2
e7b2f8b079e54fae980b5c8dea9af144,1
a8f777010438418f8a0a2c8666c13c4c,2
a85056fb8a414bf780c27fbc5337c559,1
1ba88914d57741a2a239803046004638,1
191fda0964764317bdc22f1abfbf447b,1
6fb4f97ed7704b559d7d6b7de09f364d,2
0335f5ab0a9d4bf18b0d9c7c91d275ba,2
181fa8bd12944b7b932920731c56bcf0,1
088ecd6920d946179d327032e79f7c06,1
fe6286c5699946558db8f2bde4661677,2
549195b1e20e45da9454f34aa6fb51a6,1
9ea5b819c5824238953f849e5ba59d21,1
1e3d4f63ffba4f2ba40c8714e2181a30,1
8d77046c16944bd68b6deacb57e7cad4,1
339f32fd085a49ebbe41a97e218ac0a1,2
2759c5a3f5164a5e8fd22051a9781a9e,1
a86972f6d64b47d5947660655fb4d055,1
c0ec87f5d6e741fdb30c475775d22fe2,3
9956609bb8dd40779b6d65c4ffda399a,2
897eb24802a342f7b2e82c6003be7e9f,2
ecf33d75b8714a9bb9a53cf70372ee52,2
c041084bd66945938120cd91b87a52cf,2
2fba651735574242b1ac43a4ee6a48b4,1
3b9b165f6c3148988757d681155a8b18,1
ee5760117a67478b93ce905c672411d9,1
beb1f49a83624c658a1e8de49264845e,1
15fb34821b9b4d68bf92f93d242c5d47,2
07fbb8e5f081451b91ace19f73026057,2
53b3370d48b343528f193c7a6a79fe97,1
8e561fffa89549f4ada6f5f72b853c73,2
b8b6b04cbce346478030053f9e7dc269,1
3bd0303325454a2cb56cd97a43abae34,1
a68a3100182d4dc78f1c9cf426199ccb,2
1de8a20358d1428da5f253c517590054,1
501c51e721e04cd8ac96b1235d6ba223,2
6e6a4c90eacd4791affc7ec34e26e150,1
a66bc0af1626485ab0cb484e89501807,2
9e4e165d90b04b7ea7479b306aa72141,1
1238d9dfea1d457ca21325cfb3dcf119,1
1d1151c7761748bc87285fc83d39414e,2
5778af53c8294302a084eaacf78ca834,1
fbb8471358bd407abfbc923b48458f51,1
709b65705a2f41ec9a09742a6adac0b9,1
c2d81b47adf744bb826f6f39b1ef51a3,1
60ba277320fa40188ce48742d9341436,1
9317b660d0224e46b7581a1debc1e397,2
68192c7982c54c91868aef8a8d77ac97,1
bf689277e953429ab22c7eb08d1c0705,1
48cf2958eaca4e2788db3219b5e81bd9,1
7fd797d220a54e4f9154a3b00fbc1ec3,2
ab559782485547c685c891bec7f62737,1
d6cb3935765e4cdc8a30cb62630664c9,1
2bbc0315d59f4a47b15d3475e46feca5,2
d524696fe1974d9fb04b91592e8b09d0,1
e5ba7d16cccc4044bb2a33394ff68a10,1
4b3e7f93d7904267b38b4855e5fc76c2,1
4b68581c6ca7498f9b7675d1e02a316e,1
9aa4cdf4b5934ec0b0cb4cef410b5a38,2
987dc85eb6a0461daf4af76e2f149520,1
ca8bbf6ee7934173b24c9468d7398f45,1
9a5cb588e6d840cfb3e7c90fac264cb7,1
2f285e78ca46414dad0c08751fb29b46,1
0f98b5a047944c2b89173dd3375f7214,2
2ba4cccdaf5c4e2195a7e31069f0da94,2
fcb23705237d4fdcad8dab489f7a54df,2
8fd5d7eb791141729c52e13f61bc3355,2
ab7f695ecaf04f2b8cf1bf5c76b6560c,2
3b82d2bd609f49d6a8d5d68c16f654e3,1
8cc016618b494d43a89ece4ed62f20e3,1
cdd37de10121439bbec5496661650340,1
9c2768c5c4ac4943b84bc593eb8cddb4,2
2f852d544ef84a95b21a70ec063bcd28,1
dc2ed2c578c14333abab5b03b63268b2,1
9b6fca3816cb41e9a3f557ab727fc769,1
891a58b2d6234bdf814640b529a1df4f,1
6e0e7c4e70a946ab9039219975e4ea3b,1
6729b3c5456043edabd484f84cce6bb8,2
a010a07c875942f1a59ea5545af5ea23,1
ad89fbbee3b84054928a160c6c0530c2,2
e59be0df3740494f97c654c311985548,2
5e5d1696966747d48c3b9ba6618d210e,2
a2c0b200d263498fa5cfefc4b0a9e672,1
c43e771f3704493f910f3311b80a7b42,1
e47595a36b3a4cfdafe368162b0a10cf,1
c8a320dc2580429b95fcc92b8509a04f,1
3cf2d63cc1494a008a95f70b68c68461,2
8638ae1d362145078cb2d8f88213596b,2
80db658b536c40c2a93568f3d0feb49b,1
e53b39f49dd347f5ae9d56f5b9a9dc94,1
76fbde70ba874efb9901a5a5411e5451,2
e36c381b342b41a7b80fc22d9c80761f,1
f72079bdedae440999c247a8b8a74d86,1
3b23940aed434399ae3ba3c5d75dc6fe,1
5a7ec4807e6e4e489c54d04e8a8b0f42,1
b8ccc0fddf6d4efcb87ab34bf2218c4e,1
1c45a6a315c6416f883f3f5531ce4261,2
763747f40d8443cf8f70f6f732ef1191,2
7174e2a5892b409dab30eb0e81478aa0,2
d46c8cc4c33f4e658aba0cb5947a8221,1
a9bcdea492814873aa0a134a34520716,1
eea3e0b4da0b48e9bd6ee09bf639ea1e,1
f0b13aaeeca047ecaa474fb6141e6685,1
1f2d361d20764653935329f22f5ae23c,1
21d5120317dc470594d267b76b74eb64,2
0427aa4304df48418152e50d6655adee,1
f747177574634992be809f2d4494826c,1
8be9d1cf77254f7eb31450036bd09c19,1
526316e72b894d8485fd395e604a7e3c,1
01af8fcfa9ac4d02b50844e9f52cd8ff,1
10a16b8936004591adf1843db785454f,1
7f27096e73c44f58aba007b2586b2a22,1
f56ab3ba339d493299233fd3c960698b,2
c5f14d3f354e47c69d6f229eb53074cb,2
857f776c590d403db93c91f5b5f1fbba,1
34e274dafcc24868a585fa75b108df4e,1
62c4e8ba794e43c2802fd5feb26ad9b2,2
98277e2a6b7e4ce384e15121ce20600d,1
c36efb71e3714de39a64558e48722c70,2
84b06c6a04984461a89ed13a7a4ca8ed,2
cabcfdd88d734b3d9d65a6ae135d336d,1
802b84a315754838ae1ec35430d6426b,1
08b298c910a04e7193065e2f6f83e6a0,1
153a66c241db4d5da635b33d63e6f428,1
b4a3827c681d42d28cdb74d17ae9e8a2,1
9e5850ad4f804c5cb4246699c37c6049,1
e8ca9e1d3f204745b1f7f91d941161f7,1
27d89d153b5944c7ab1e5bd21bf8c147,1
cccbb297ca9e4552bbeda711e084ac1f,2
ce60c850657b44e2bb9082de38634ad4,2
491ef9a7edf3487c83931c0a97e39326,1
89c763ccfc8b402b8758035211bd21a9,1
